reviews_rating,reviews_text,reviews_title,reviews_username
3,Floors in lobby need to be cleaned and waxed no AC in the elevator or hallways transient lady asked me for money in the lobby!,Ok for one nights stay...,A verified traveler
4,I stayed 4 nights while attending a conference elsewhere in the D.C. area. I was looking for reasonable price in the D.C. area and proximity to the Metro. The hotel met both needs. They provided a complimentary shuttle to the Metro (although I chose the 20 minute one time just for exercise). There were several good restaurants nearby. I enjoyed the fish restaurant nearby very much. I also chose fast food one night -- all within walking distance. I plan to stay there on a subsequent visit. I enjoyed the complimentary eggs and sausage each morning. (They had cereal also.) They are a little weak on facility maintenance but the room I had was fine.,I'll Stay Again,Bruce
3,"Comfortable room, continental breakfast was terrible though.",Ok stay,A verified traveler
3,We just stayed one night but my boyfriend said there was an odor when he first went in. It wasn't a bad hotel. It just needs to updating.,Okay for one night,A verified traveler
2,"It was a bad experience for me. The first room I checked into the ceilings had water stains, the shower walls were dirty and the final straw was when I pulled back the covers and what do I see, a caterpillar crawling in my bed. I was so disgusted when I saw that and when I called the front desk they told me I had to come down to switch rooms because they had one person on duty. So they put me in another room and there that had water stains in the ceiling and the toilet seat had stains on it and the room door had water stains on it. It was 1 in the morning and I was exhausted so I stayed that night but when I woke up I had bites all over my back so with that I checked out early and went to another hotel.",Water stains is a no go.,Alex K
4,"Nice hotel but difficult to walk to restaurants. Only Red Lobster, McDonalds Wendy's in area that were known. Staff was very helpful rooms were clean.",Nice hotel but difficult,linda
4,LOVED IT!!!,Awesome Hotel!,Helena
3,"The looby of the area was very busy. Only one clerk at desk. Took awhile to check-in. However, the room was nice. The bed comfortable. Nice restaurants in walking distance. I would stay there again.",Great value,seasoned traveler
4,"Overall it was pretty good...the staff were excellent..the free breakfast was GREAT. However, the shower didn't produce cold water until the 3rd person took a shower. Also, we didn't have a refridgerator in the room, so left overs from resturants were out of the question. But loved to have the ability to take a shuttle to the Metro Station, that then took me the DC so I didn't have to drive for a tour of DC. GREAT!!!",Not A Bad Stay,Family Vacation
3,"It was great had a reasonable breakfast,could improve on breakfast menus!",Weekend stay,Winette
4,We really enjoyed our stay. The hotel staff the shuttle service was fantastic! Only a couple of minutes away from a Metro Station the hotel provides regular service to/from every 30 minutes or on demand. Very nice buffet breakfast. Hotel room was clean very comfortable. We will definitely be back.,Great Hotel Service - Convenient to Metro,A verified traveler
5,I have always loves this hotel. Besides being close to the highway for easy assess to all the areas attractions. It is tucked away for peace of mind.,the perfect staycation,A verified traveler
3,"This is a very nice property for tourists, but business travelers should look elsewhere. The internet service is very poor. So, if you have to work in your room at night and require internet access, this will not be a good choice for you. Also, I have never been to a hotel that does not get NBC on the TV - one of the major networks. I was going to inform the management of my concerns, but when I checked out, no one asked me how was your stay, so I didn't bother.",Not for the business traveler,WRC
